Author,Title,Publisher,Grade,JacketCondition,Binding,BookType,ISBN ,PublishYear,Edition,Pages,Notes
Kellogg,Kellogg's Funny Jungleland Moving Pictures,Kellogg's,Fair,No Jacket,Soft Cover,Child's Book,,1932,,,
"Wilder, Laura Ingalls",Little House in the Big Woods,Harper & Row,Very Good,Good,Hard Cover,Child's Book,,1932,,238,
"Bohata-Morpurgo, Ida",Vom Lieben Christkindlein,Verlag-Ars sacra-Josef Muller-Munchen,Fair,No Jacket,Hard Cover,Child's Book,No ISBN,1933,,,
"London, Jack",White Fang,Grosset & Dunlap,Fair,Poor,Hard Cover,Child's Book,None,1933,,317,
"Sayers, Dorothy L.",Murder Must Advertise,Avon,Good,No Jacket,Soft Cover,Mystery,No ISBN,1933,,288,
"Woolcott, Alexander",While Rome Burns,The Viking Press,,,Hard Cover,Collector,No ISBN,1933,,328,
"Chaucer, Geoffrey",Canterbury Tales,International Collectoor;s Library,Good,Good,Hard Cover,Collector,,1934,,627,
"Guest, Edgar A.",Collected Verse of Edgar A. Guest,The Reilly & Lee Co.,Fair,Poor,Hard Cover,Poetry,,1934,,937,
"Field, Rachel","Hittty, Her First Hundred Years",The MacMillan Company,Fair,No Jacket,Hard Cover,Child's Book,None,1935,,,
"Glover, T. R.",The Ancient World,Penguin Books,Poor,No Jacket,Soft Cover,Historical,None,1935,,350,
"NEA Services, Inc.",The Dionne Quintuplets Growing Up,"The Platt & Munk Company, Inc.",Poor,No Jacket,Hard Cover,Collector,None,1935,,,
"Outhwaite, Leonard",Unrolling the Map,Reynal & Hitchcock,Very Good,No Jacket,Hard Cover,Historical,,1935,,351,
"Benson, Ivan",Mark Twain in the West,California State Printing Office,Fair,No Jacket,Soft Cover,Collector,,1936,,30,
"Boylston, Helen Dore",Sue Barton Student Nurse,"Little, Brown & Co.",Fair,Poor,Hard Cover,Collector,No ISBN,1936,,244,
"Mannheim, Karl",Ideology and Utopia,A Harvest Book,Good,No Jacket,Soft Cover,Education,,1936,,854,
"Mitchell, Margaret",Gone With the Wind,The MacMillan Company,Poor,No Jacket,Hard Cover,Novel,No IsBN,1936,,1037,
"Sherman, Edith Bishop",Polly What's Her Name,The Goldsmith Publishing Co.,Fair,No Jacket,Hard Cover,Collector,No ISBN,1936,,250,
"Thornton, Willis",The Dionne Quintuplets - We're Two Years Old,,Good,No Jacket,Hard Cover,Child's Book,,1936,,,
"Wallace, Francis",Autumn Madness,"Books, Inc.",Fair,No Jacket,Hard Cover,Novel,No ISBN,1936,,288,
"White, Ethel Lina",The Lady Vanishes,Zebra,Fair,No Jacket,Soft Cover,Novel,821720015,1936,,268,
Avi Nothing But the Truth,Nothing But the Truth,HarperTrophy,Fair,No Jacket,Soft Cover,Novel,038071907X,1937,,212,
"Burke, Edmund",Taste of the Sublime,P. F. Collier & Son,As New,Fine,Hard Cover,Novel,,1937,,421,
"Caesar, Irving",Irving Caesar's Sing a Song of Safety,Irving Caesar,Good,No Jacket,Soft Cover,Child's Book,,1937,,71,
Dr. Seuss,And to Think That I Saw it on Mulberry Street,"Vanguard Press, Inc.",As New,No Jacket,Hard Cover,Child's Book,,1937,,,
Dr. Seuss,The Cat in the Hat,Random House,Good,Good,Hard Cover,Child's Book,None,1937,,62,
"Gould, George M. M.D. & Walter L. Pyle, M.D.",Anomalies and Curiosities of Medicine,"Sydenham, Publishers",Fair,No Jacket,Hard Cover,Medical,,1937,,968,
"Grey, Zane",West of the Pecos,"Walter J. Black, Inc.",Good,No Jacket,Buckram,Western,,1937,,314,
"Hubbell, Carl",Carl Hubbell's 1937 Baseball Book,Heffelfinger Publications,Very Good,No Jacket,Soft Cover,Collector,,1937,,24,
"Magruder, Frank Abbott, Ph.D.","American Government, Problems of Democracy",Allyn and Bacon,Poor,No Jacket,Hard Cover,Education,No ISBN,1937,,757,
"Peale, Norman Vincent",The Power of Positive Thinking,Center for Positive Thinking,Good,No Jacket,Soft Cover,Self Help,,1937,,56,
"Tolkien, J. R. R.",The Hobbit,Houghton Miffin Co.,As New,Very Good,Hard Cover,Fantasy,739410741,1937,,255,
"Watson, Thomas A.",The birth and Babyhood of the Telephone,American Telephone & Telegraph Co.,As New,No Jacket,Soft Cover,Collector,,1937,,47,
" Carnegie, Dale",How to Win Friends and Influence People,Pocket Books,Very Good,No Jacket,Soft Cover,Education,671424181,1938,,264,
"Bonar, Lee and Roush, Lucile and the Late Richard M. Holman",A Laboratory Guide for a Course in General Botany,"John Wiley & Sons, Inc.",Poor,No Jacket,Hard Cover,Education,None,1938,,110,
"Christie, Agatha",Hercule Poirot's Christmas,Harper Paperbacks,Very Good,No Jacket,Soft Cover,Mystery,61003735,1938,,243,
"DeGroat, Harry DeW. & Young, William E.","Iroquois New Standard Arithmetics, Grade Five","Iroquois Publishing Co., Inc.",Fair,No Jacket,Hard Cover,Education,No ISBN,1938,,264,
"Dock, Lavinia L., R.N.",A Short History of Nursing,G. P. Putnam's Sons,Fair,No Jacket,Hard Cover,Medical,,1938,,435,
"Hare, Cyril",Death is No Sportsman,Harper Perennial,Fair,No Jacket,Soft Cover,Mystery,60805552,1938,,263,
"Smith, Nila Banton",Near and Far,California State Dept. Of Education,Poor,No Jacket,Hard Cover,Child's Book,,1938,,320,
Treasure Chest,"Christmas Song Parade, and Pictures to Color",Treasure Chest Publications,Very Good,No Jacket,Soft Cover,Child's Book,None,1938,,,
"Cavendish, Marshall",History of the Second World War,Marshall Cavendish,Very Good,No Jacket,Soft Cover,Magazine,None,1939,,29,
"Heffernan, Helen & Richards, Irmagarde, & Salisbury, Alice",Desert Treasure,Harr Wagner Publishing Co.,Poor,No Jacket,Hard Cover,Child's Book,None,1939,A Story of Adventure,298,
"Morley, Christopher",Kitty Foyle,J. B. Lippincott Company,Poor,No Jacket,Hard Cover,Novel,No ISBN,1939,,340,
" Lindlahr, Victor",The Famous 7-Day Reducing Diet,Journal of Living,Good,No Jacket,Soft Cover,Health,,1940,,32,
"Ambler, Eric",Journey Into Fear,Alfred A. Knoff,Very Good,No Jacket,Hard Cover,Novel,,1940,,184,
"Christie, Agatha",Murder on The Orient Express,Pocket Books,Good,No Jacket,Soft Cover,Mystery,No ISBN,1940,,198,
De Lee Joseph B. M.D.,The Principles and Practice of Obstetrics,"W, B. Saunders Company",Good,No Jacket,Hard Cover,Medical,,1940,,1211,
"Fenton, Carroll Lane O& Mildred Anams",The Rock Book,Doubledaiy & Co.,Good,Fair,Hard Cover,Education,No ISBN,1940,,355,
"Keyes, Frances Parkinson",Fielding's Folly,Grosset & Dunlap,Poor,No Jacket,Hard Cover,Ficton,None,1940,,435,
"Mack, Effie Mona, Ph.D. & Sawyer, Byrd Wall, M.A.","Our State, Nevada","The Caxton Printers, LTD.",Poor,No Jacket,Hard Cover,Education,No ISBN,1940,,322,the cover of the book is falling apart
"Marx, Groucho",Why a Duck?,Crown Publishers,Very Good,Fair,Hard Cover,Humor,821203738,1940,,288,
"McGlashan, C. F.","History of the Donner Party, A Tragedy of the Sierra",Stanfor University Press,Good,No Jacket,Soft Cover,Historical,804703671,1940,,261,
"Sayers, Dorothy L.",In the Teeth of the Evidence,Avon Publishers,Very Good,No Jacket,Soft Cover,Mystery,No ISBN,1940,,208,
"Sperry, Armstrong",Call It Courage,"Scholastic, Inc.",Fair,No Jacket,Soft Cover,Novel,No ISBN,1940,,92,
Bible Stories,Old and New Testament Stories,Whitman Publishing,Fair,No Jacket,Hard Cover,Child's Book,,1941,,237,
"Christie, Agatha",The Body in the Library,Pocket Books,Fine,No Jacket,Soft Cover,Mystery,671602551,1941,,192,
"Gardner, Earl Stanley",Case of the Haunted Husband,Pocket Books,Good,No Jacket,Soft Cover,Mystery,671-55818-8,1941,,218,
"O'Hara, Mary",My Friend Flicka,J.B.Lippincott Company,,,Hard Cover,Collector,No ISBN,1941,,285,
"Saavedra, Miguel De Cervantes",Don Quixote De La Mancihe,Random House,Good,No Jacket,Hard Cover,Fantasy,None,1941,,567,
"Shann, Renee",War Wife,Triangle Books,Fair,No Jacket,Hard Cover,Novel,No ISBN,1941,,305,
"Slaughter, Frank C.","Trio, Three Complete Novels",Doubledaiy & Co.,Good,No Jacket,Hard Cover,Novel,,1941,,924,
"Stong, Phil",25 Modern Stories of Mysteryi,Garden City Publishing Co.,Poor,Poor,Hard Cover,Mystery,No ISBN,1941,,466,
"Ehrlichman, John",Washington Behind Closed Doors,Pocket Books,Poor,No Jacket,Soft Cover,Political,0-671-81792-2,1942,,327,
"Gray, Elizabeth Janet",Adam of the Road,Puffin Books,Good,No Jacket,Soft Cover,Child's Book,014032464X,1942,,317,
"Howland, V Huntington","Picture World, November 1942",Bilbarra Publishing Co.,Fair,No Jacket,Soft Cover,Magazine,,1942,,47,
"Reed, Mary",Prayers for Children,Simon & Shuster,Fair,No Jacket,Hard Cover,Child's Book,No ISBN,1942,,39,
"Vanek, Cecilia",Star Book of 100 Edgings,American Thread Co.,Very Good,No Jacket,Soft Cover,Self Help,,1942,,31,
"Wallbank, T. Walter & Taylor, Alastair M.",Civilization - Past and Present,"Scott, Foresman and Company",Fair,No Jacket,Hard Cover,Historical,None,1942,,579,
" Smith, Grant H.",The History of the Comstock Lode,Nevada Bureau of Mines,Fair,No Jacket,Soft Cover,Historical,No ISBN,1943,,305,
Ariane,The Lively Little Rabbit,Simon & Schuster,Fair,No Jacket,Hard Cover,Child's Book,None,1943,,,
"Bower, Albert G. M.D.",Communicable Diseases for Nurses,"W, B. Saunders Company",Very Good,No Jacket,Hard Cover,Medical,None,1943,,592,
"Bristol, Lieutenant George",Salute Me!,The Dial Press,Good,No Jacket,Hard Cover,Novel,No ISBN,1943,,172,
"Glenn, Mabelle and Leavitt, Helen S.",Tuning Up - the World of Music,Ginn & Company,Fair,No Jacket,Hard Cover,Collector,,1943,,176,
"Harris, Thomas",Hannibal,A Dell Book,Very Good,No Jacket,Soft Cover,Novel,440224675,1943,,546,
"Hope, Laura Lee",The Bobbsey Twins' in a Houseboat,Grosset & Dunlap,Fair,No Jacket,Hard Cover,Child's Book,None,1943,,244,
"Luce, Henry R.",The Swing Era - One More Time,Time Life Records,Good,No Jacket,Hard Cover,Collector,None,1943,,,
"Stuart, Jesse",Taps for Private Tussie,"E. P. Dutton & Company, Inc.",Poor,Poor,Hard Cover,Novel,No ISBN,1943,,303,
"Allen, Hervey",Tales of Edgar Allen Poe,Random House,Fair,,Hard Cover,Classic,,1944,,562,This book was in a box to preserve it.
"Fischer, Bruno",Quote the Raven,"Doubleday, Doran & Company",Poor,No Jacket,Hard Cover,Novel,,1944,,188,
"Gorman, John A.",The Western Horse,John A. Gorman,Very Good,No Jacket,Hard Cover,Education,none,1944,,361,
"Kuns, Ray F.","Auto-Mechanics, Course 1, the Engine",Bruce Publishing Company,Poor,No Jacket,Soft Cover,Education,No ISBN,1944,,265,
"Kuns, Ray F.","Auto-mechanics, Course 3 Automovtive Electricity",Burce Publishing,Poor,No Jacket,Soft Cover,Collector,,1944,,282,
"Meier, Frederick",The Joke Tellers Joke Book,The Blakiston Co.,Poor,No Jacket,Hard Cover,Humor,None,1944,,323,
"Read, Grantly Dick, M.A., M.D.",Childbirth Without Fear,Harper & Brothers,Fair,No Jacket,Hard Cover,Medical,,1944,,259,
"Stone, Irving",Immortal Wife,"Doubleday, Doran & Company",Fair,No Jacket,Hard Cover,Novel,None,1944,,,
"Whitlock, Flint",WWII Quarterly,Mark Hintz,Very Good,No Jacket,Soft Cover,Magazine,None,1944,,98,
"Grimm, Jacob and William",Hansel and Gretel,Simon & Schuster,Good,No Jacket,Hard Cover,Child's Book,None,1945,,,
"Hewson, Isabel Manning",The Land of the Lost,McGraw Hill BookCo.,Poor,No Jacket,Hard Cover,Child's Book,No ISBN,1945,,60,
"Horton, Thomas D.",What Men Don't Like About Women,Louis Greenfield Publsiher,Poor,Poor,Hard Cover,Advanced Reading Copy (ARC),none,1945,,144,
"Norris, Kathleen",Burned Fingers,The Sun Dial Press,Poor,No Jacket,Hard Cover,Novel,No ISBN,1945,,273,
"Tarkington, Booth",Image of Josephine,"Doubleday , Doran & Company",Poor,No Jacket,Hard Cover,Collector,,1945,,275,
" Haydn, Hiram",The Portable Elizabethan Reader,The Viking Press,Poor,Fair,Hard Cover,Collector,,1946,,688,
"Alexander, Beatrice",The Story of Jesus,Simon & Schuster,Good,No Jacket,Hard Cover,Child's Book,None,1946,,,
"Alighieri, Dante",The Divine Comedy,International Collectoor;s Library,As New,Fine,Hard Cover,Ex-Library,,1946,,475,
"Ames, Merlin M. & Ames, Jesse H. & Ousley, Odille",My Country,California State Dept. Of Education,Poor,No Jacket,Hard Cover,Education,No ISBN,1946,,472,
"Caldwelld, Taylor",This Side of Innocence,Charles Scribner & Son,Poor,No Jacket,Hard Cover,Ficton,None,1946,,499,
"DeFoe, Daniel",Robinson Crusoe,Grosset & Dunlap,Fine,Good,Hard Cover,Adventure,None,1946,,,
"DeFoe, Daniel",Robinson Crusoe,Grosset & Dunlap,Very Good,Fair,Hard Cover,Novel,No IsBN,1946,,378,
"Frazer, Phyllis",This Little Piggy and Other Counting Rhymes,Simon & Schuster,Fair,No Jacket,Hard Cover,Child's Book,,1946,,41,
"Gunther, John",Inside U.S.A.,Harper and Brothers,Good,No Jacket,Hard Cover,Historical,No ISBN,1946,,979,
"Heggen, Thomas",Mr. Roberts,Pocket Books,Fair,No Jacket,Soft Cover,Novel,None,1946,,189,
"Hobson, Laura Z.",Gentlemen's Agreement,Simon & Schuster,Fair,No Jacket,Hard Cover,Novel,None,1946,,275,
"Howard, Elizabeth Metzger",Before the Sun Goes Down,Doubledaiy & Co.,Poor,No Jacket,Hard Cover,Novel,None,1946,,378,
Phyllis Fraser,This Little Piggy,Simon & Schuster,Fair,No Jacket,Hard Cover,Child's Book,None,1946,,,
Sunset Books,Sunset Barbecue Book,Lane Publishing,Fair,Poor,Hard Cover,Cook Book,None,1946,,95,
"Untermeyer, Louis (Edited)",A Treasury of Laughter,Simon & Shuster,Fair,No Jacket,Hard Cover,Collector,No ISBN,1946,,318,
 Nicole,The Happy Family,Simon & Schuster,Good,No Jacket,Hard Cover,Child's Book,None,1947,,42,
"Costain, Thomas B.",The Moneyman,Doubledaiy & Co.,Poor,Poor,Hard Cover,Romance,No ISBN,1947,,434,
"Fernald, James C., L.H.D.","Synonyms, Antonyms, and Prepositions",Funk & Wagnalls Company,Very Good,Fair,Hard Cover,Education,None,1947,,515,
"Funk, Charles Earle, Ltt.D.",New College Standard Dictionary,Funk & Wagnalls Company,Poor,No Jacket,Hard Cover,Education,No ISBN,1947,,1404,
"Norris, Kathleen",You Can't Have Everything,"Collier Books, New York",Poor,No Jacket,Hard Cover,Novel,No ISBN,1947,Palo Alto Edition,332,
"Potter, Edith L. M.D., Ph.D.",RH,The Year Book Publishers,Good,No Jacket,Hard Cover,Medical,,1947,,344,
"Rinehart, Mary Roberts",Mary Roberts Rinehart's Mystery Book,"Rinehart & Co., Inc.",Fair,Poor,Hard Cover,Collector,,1947,,343,
"Ross, Jacob M.","Adventures for Readers, Book One","Harcourt Brace & World, Inc.",Good,Poor,Half-Leather,Education,No ISBN,1947,,502,
"Scott, Therese",The Shy Little Horse,Grosset & Dunlap,Poor,No Jacket,Hard Cover,Child's Book,None,1947,,,
"Stevenson, Robert Louis",Treasure Island,Grosset & Dunlap,Very Good,No Jacket,Hard Cover,Novel,No ISBN,1947,,341,
"Untermeyer, Louis",A Concise Treasury of Great Poems,Pocket Books,Poor,No Jacket,Soft Cover,Poetry,None,1947,,557,
"Alter, Dinsmore, Ph.D, SC D",Pictorial Astronomy,Thomas Y Crowell Co.,Fair,No Jacket,Hard Cover,Education,none,1948,,310,
"Dickens, Charles",David Copperfield,Literary Guild of America,Good,No Jacket,Hard Cover,Novel,no ISBN,1948,,423,
"Luce, Henry R.",The Swing Era - The Postwar Years,Time Life Records,Good,No Jacket,Hard Cover,Collector,None,1948,,,
"Schoonover, Lawrence",The Burnished Bladee,The MacMillan Company,Fair,No Jacket,Hard Cover,Novel,None,1948,,371,
"Scott, Barbara & Younce, Carrie",Sedona Storm,Thomas Nelson Pub.,Good,No Jacket,Soft Cover,Novel,0-7852-8266-1,1948,,272,
"Shulman, Max",Max Shulman's Large Economy Size,Doubledaiy & Co.,Good,No Jacket,Hard Cover,Novel,No ISBN,1948,,,
"Werner, Jane",Mr. Noah and His Family,Simon & Schuster,Fair,No Jacket,Hard Cover,Child's Book,None,1948,,,
"Yerby, Frank",The Golden Hawk,The Dial Press,Fair,No Jacket,Hard Cover,Adventure,None,1948,,312,
" Orwell, George",1984,New American Library,Poor,No Jacket,Soft Cover,Novel,No ISBN,1949,,267,
"Beebe, Lucius & Charles Clegg",Virginia & Truckee,Howell-North,Very Good,No Jacket,Soft Cover,Historical,No ISBN,1949,,67,
"Berlitz, Charles F.",The Berlitz Self Teacher: Spanish,Dunlap Publishers,Very Good,No Jacket,Hard Cover,Education,No ISBN,1949,,282,
"Davidson, David",The Hour of Truth,Random House,Fair,No Jacket,Hard Cover,Novel,No ISBN,1949,,280,
"Eastman, Nicholson J., M.D.",Expectant Motherhood,Little Brown & Co.,Fair,No Jacket,Hard Cover,Medical,,1949,"2nd Edition, Revised",198,
"Farrington, S. Kip, Jr.",Railroads of Today,"Coward-McCann, Inc.",Fair,Fair,Hard Cover,Education,,1949,,306,
"Farrington, S. Kip, Jr.",Railroads of Today,Longman,Fair,Fair,Hard Cover,Non-Fiction,none,1949,,,
"Hassell, Sandy",Know the Navajo,"Vic Walker, Indian Trader",Good,No Jacket,Soft Cover,Child's Book,No ISBN,1949,,40,
"Hassell, Sandy",Know the Navajo,"Vic Walker, Indian Trader",Fair,No Jacket,Soft Cover,Fiction,None,1949,,,
"Hope, Laura Lee",The Bobbsey Twins' in Tulip Land,Grosset & Dunlap,Fair,No Jacket,Hard Cover,Child's Book,None,1949,,210,
"Irons, Diane",The World;s Best-Kept Diet Secrets,"Sourcebooks, Inc.",As New,No Jacket,Soft Cover,Medical,1570713758,1949,,326,
"Jackson, Kathryn and Byron",Little Galoshes,Simon & Schuster,Fair,No Jacket,Hard Cover,Child's Book,,1949,,,
Kathryn and Byron Jackson,Little Galoshes,Simon & Schuster,Good,No Jacket,Hard Cover,Child's Book,None,1949,,,
"Leon, Ruth",What am I,Simon & Schuster,Poor,No Jacket,Hard Cover,Child's Book,None,1949,,,
"Leon, Ruth",What Am I?,Simon & Shuster,Poor,No Jacket,Hard Cover,Child's Book,No ISBN,1949,,,
"Thompson, G. A. & White, D. E.",Regional Geology of the Steamboat Springs Area,U.S. Government Printing Off.,Fair,No Jacket,Soft Cover,Historical,No ISBN,1949,,52,
"Venk, Ernest A. & Billeit, Walter E.",Automotive Fundamentals,American Technical Society,Poor,No Jacket,Hard Cover,Education,None,1949,,520,
" Alcott, Louisa May",Little Women,Literary Guild of America,Good,No Jacket,Hard Cover,Novel,No ISBN,1950,,376,
"Bechdolt, Jack",The Little Boy with the Big Horn,Simon & Schuster,Fair,No Jacket,Hard Cover,Child's Book,None,1950,,,
"Bedford, Annie North",Susie's New Stove,Simon & Schuster,Fair,No Jacket,Hard Cover,Child's Book,None,1950,,,
"Christie, Agatha",A Murder is Announced,"Dodd, Mead & Co",Good,No Jacket,Hard Cover,Mystery,,1950,,248,
"Disney, Walt",Cinderella,Simon & Schuster,Poor,No Jacket,Hard Cover,Child's Book,,1950,,,
"Findley, Bruce and Esther",Your Rugged Constitution,Stanfor University Press,Poor,No Jacket,Soft Cover,Historical,No ISBN,1950,1st Edition,282,
"Grant, Campbell",Cinderella,Simon & Schuster,Fair,No Jacket,Hard Cover,Child's Book,None,1950,,,
"Gray, Ruth S.",Bible Helpers,Warner Press,Fair,No Jacket,Hard Cover,Child's Book,None,1950,,,
"Hall, James Norman",The Far Lands,Little Brown & Co.,Poor,No Jacket,Hard Cover,Novel,None,1950,,298,
Heyerdahl. Thor,"Kon Tiki, Across the Pacific By Raft",Rand McNally & Company,Poor,No Jacket,Hard Cover,Novel,,1950,,304,
Johanna Spyri,"Heidi, Child of the Mountains",Wonder Books,Fair,No Jacket,Hard Cover,Child's Book,None,1950,,,
"Lewin, S. A., M.D. & Gilmore, John, Ph.D.",Sex Without Fear,Medical Research Press,Very Good,No Jacket,Hard Cover,Health,No ISBN,1950,,130,
"Lorant, Stefan",F.D. R.. A Pictorial Biography,Simon & Schuster,Good,No Jacket,Soft Cover,Historical,,1950,,160,
"Shirer, William L.",The Rise and Fall of The Third Reich,Faucett Crest,Good,No Jacket,Soft Cover,Historical,449204952,1950,,1599,
"Spyri, Johanna","Heidi, Child of the Mountains",Wonder Books,Poor,No Jacket,Hard Cover,Child's Book,,1950,,,
"Velikovsky, Immanuel",Worlds in Collision,Doubledaiy & Co.,Good,Fair,Hard Cover,Historical,No ISBN,1950,,401,
"Bradbury, Ray",The Illustrated Man,Bantam Books,Poor,No Jacket,Soft Cover,Science Fiction,No ISBN,1951,,186,
"Buss, Eduard",Umberto's Circus,"Farrar, Straus & Young",Good,No Jacket,Hard Cover,Novel,,1951,,340,
"Conger, Marion",The Little Golden Holiday Book,Simon & Shuster,Fair,No Jacket,Hard Cover,Child's Book,None,1951,,,
Gogol,Old Russian Stories,Perpetua Book,Fair,No Jacket,Soft Cover,Novel,No ISBN,1951,,202,
"Gray, John, Ph.D","Men are from Mars, Women are from Venus","Harper Collins, Publishers",As New,Very Good,Hard Cover,Education,0-06-016848-X,1951,,386,
"Heilbroner, Robert L.",The Worldly Philosophers,Simon & Schuster,Fair,No Jacket,Soft Cover,Non-Fiction,None,1951,,309,
"Hope, Laura Lee",The Bobbee Twins' Own Little Railroad,Grosset & Dunlap,Fair,No Jacket,Hard Cover,Child's Book,None,1951,,178,
"Houston, Margaret Bell",Bride's Island,Crown Publishers,Poor,No Jacket,Hard Cover,Novel,,1951,,252,
"Lait, Jack and Mortimer, Lee",Washington Confidential,A Dell Book,Poor,No Jacket,Soft Cover,Historical,No ISBN,1951,,384,
